First Name,Middle Name,Last Name,Phonetic First Name,Phonetic Middle Name,Phonetic Last Name,Name Prefix,Name Suffix,Nickname,File As,Organization Name,Organization Title,Organization Department,Birthday,Notes,Photo,Labels,E-mail 1 - Label,E-mail 1 - Value,E-mail 2 - Label,E-mail 2 - Value,Phone 1 - Label,Phone 1 - Value,Phone 2 - Label,Phone 2 - Value,Phone 3 - Label,Phone 3 - Value,Address 1 - Label,Address 1 - Formatted,Address 1 - Street,Address 1 - City,Address 1 - PO Box,Address 1 - Region,Address 1 - Postal Code,Address 1 - Country,Address 1 - Extended Address,Website 1 - Label,Website 1 - Value,Custom Field 1 - Label,Custom Field 1 - Value
,,,,,,,,,,,,,,,,* myContacts,,,,,Mobile,+66613141318,,,,,,,,,,,,,,,,,
0boox,,,,,,,,,,,,,,,,* myContacts,,,,,Mobile,+32 495 20 02 76,,,,,Home,Rue Dartois 274000 Li�ge Belgium,Rue Dartois 274000 Li�ge Belgium,,,,,,,Home Page,https://0boox.accountants/,,
1A1,,LLC,,,,,,,,,,,,,,* myContacts,,,,,Mobile,7874202021,,,,,Home,Santa Cruz E5 Calle Marginal00961 Bayamon Puerto Rico,Santa Cruz E5 Calle Marginal00961 Bayamon Puerto Rico,,,,,,,Home Page,http://www.1a1.cpa/,,
216,,Accountants,,,,,B.V.,,,,,,,,,* myContacts,,,,,Mobile,+31 088-9955216,,,,,Home,Oude Middenweg 31-532491 AC Den Haag Netherlands,Oude Middenweg 31-532491 AC Den Haag Netherlands,,,,,,,Home Page,http://216.nl/,,
2UG,"Boekhouding Fiscaliteit, Wannes",Grosemans,,,,,,,,,,,,,,* myContacts,,,,,Mobile,+32498454172,,,,,Home,Condijstraat 91755 Oetingen Belgium,Condijstraat 91755 Oetingen Belgium,,,,,,,Home Page,http://2ug.be/,,
3D,,VISION,,,,,C.A.,,,,,,,,,* myContacts,,,,,Mobile,+584143861465,,,,,Home,"CARRERA NEKUIMA, PLANTA BAJA LOCAL I, ALTA VISTA PUERTO ORDAZ8050 CIUDAD GUAYANA Venezuela","CARRERA NEKUIMA, PLANTA BAJA LOCAL I, ALTA VISTA PUERTO ORDAZ8050 CIUDAD GUAYANA Venezuela",,,,,,,Home Page,https://www.3dvisionve.com/,,
3K,Consulting,Kft.,,,,,,,,,,,,,,* myContacts,,,,,Mobile,+36703688733,,,,,Home,Igazmond— utca 6 II/5.2151 F—t Hungary,Igazmond— utca 6 II/5.2151 F—t Hungary,,,,,,,Home Page,https://3kconsulting.hu/,,
416,Zan,Rizvi and Associates,,,,,,,,,,,,,,* myContacts,,,,,Mobile,5712653618,,,,,Home,"2255 Dundas St W Mississauga, ON, L5K 1R6Mississauga,  L5K 1R6Canada","2255 Dundas St W Mississauga, ON, L5K 1R6Mississauga,  L5K 1R6Canada",,,,,,,Home Page,http://www.zrizzy.com/,,
4finance,,,,,,,,,,,,,,,,* myContacts,,,,,Mobile,+32 2 880 02 00,,,,,Home,Rue Edith Cavell 661180 Brussels Belgium,Rue Edith Cavell 661180 Brussels Belgium,,,,,,,Home Page,http://www.4finance.be/,,
4th,,man,,,,,,,,,,,,,,* myContacts,,,,,Mobile,+32497767562,,,,,Home,Hertstraat 422860 Sint-Katelijne-Waver Belgium,Hertstraat 422860 Sint-Katelijne-Waver Belgium,,,,,,,,,,
616,Executive,Consulting,,,,,,,,,,,,,,* myContacts,,,,,Mobile,+1 289-442-8565,,,,,Home,"37 Hamilton AvenueHamilton,  L8V 2S3Canada","37 Hamilton AvenueHamilton,  L8V 2S3Canada",,,,,,,Home Page,http://www.616executive.ca/,,
7,EN COURS,Gestion,,,,,,,,,,,,,,* myContacts,,,,,,,,,,,Home,9 Ch�nelong 28160 GohoryFrance,9 Ch�nelong 28160 GohoryFrance,,,,,,,,,,
A & B,Partners,Waregem,,,,,B.V.,,,,,,,,,* myContacts,,,,,Mobile,+32 56 62 04 71,,,,,Home,8790 Waregem Belgium,8790 Waregem Belgium,,,,,,,Home Page,https://abpartners.be/,,
